pooling,dataset,N,pred_len,seed,MSE,MAE,model_id
learnable,electricity,321,96,2021,0.14215382933616638,0.23529642820358276,psf_learnable_electricity_pl96_s2021
learnable,electricity,321,96,2022,0.14240142703056335,0.2355692833662033,psf_learnable_electricity_pl96_s2022
learnable,electricity,321,96,2023,0.14211517572402954,0.23532578349113464,psf_learnable_electricity_pl96_s2023
learnable,electricity,321,192,2021,0.16231922805309296,0.2541329562664032,psf_learnable_electricity_pl192_s2021
learnable,electricity,321,192,2022,0.15999405086040497,0.2517722249031067,psf_learnable_electricity_pl192_s2022
learnable,electricity,321,192,2023,0.1622122973203659,0.2541106939315796,psf_learnable_electricity_pl192_s2023
learnable,electricity,321,336,2021,0.17699618637561798,0.2699263393878937,psf_learnable_electricity_pl336_s2021
learnable,electricity,321,336,2022,0.17647583782672882,0.2694949507713318,psf_learnable_electricity_pl336_s2022
learnable,electricity,321,336,2023,0.17686600983142853,0.2697865962982178,psf_learnable_electricity_pl336_s2023
learnable,electricity,321,720,2021,0.21367964148521423,0.30288881063461304,psf_learnable_electricity_pl720_s2021
learnable,electricity,321,720,2022,0.21161609888076782,0.30074694752693176,psf_learnable_electricity_pl720_s2022
learnable,electricity,321,720,2023,0.20546942949295044,0.29640457034111023,psf_learnable_electricity_pl720_s2023
learnable,solar_AL,137,96,2021,0.19991137087345123,0.2363361120223999,psf_learnable_solar_AL_pl96_s2021
learnable,solar_AL,137,96,2022,0.20284762978553772,0.23685431480407715,psf_learnable_solar_AL_pl96_s2022
learnable,solar_AL,137,96,2023,0.20082564651966095,0.2348659783601761,psf_learnable_solar_AL_pl96_s2023
learnable,solar_AL,137,192,2021,0.2306210994720459,0.2585684657096863,psf_learnable_solar_AL_pl192_s2021
learnable,solar_AL,137,192,2022,0.2342924326658249,0.2609752416610718,psf_learnable_solar_AL_pl192_s2022
learnable,solar_AL,137,192,2023,0.23120354115962982,0.25983887910842896,psf_learnable_solar_AL_pl192_s2023
learnable,solar_AL,137,336,2021,0.24663598835468292,0.2713700830936432,psf_learnable_solar_AL_pl336_s2021
learnable,solar_AL,137,336,2022,0.24700623750686646,0.2714991867542267,psf_learnable_solar_AL_pl336_s2022
learnable,solar_AL,137,336,2023,0.24537625908851624,0.27092447876930237,psf_learnable_solar_AL_pl336_s2023
learnable,solar_AL,137,720,2021,0.25125160813331604,0.27492016553878784,psf_learnable_solar_AL_pl720_s2021
learnable,solar_AL,137,720,2022,0.2521934509277344,0.2753559648990631,psf_learnable_solar_AL_pl720_s2022
learnable,solar_AL,137,720,2023,0.2523268461227417,0.27599695324897766,psf_learnable_solar_AL_pl720_s2023
learnable,traffic,862,96,2021,0.8157732486724854,0.4970328211784363,psf_learnable_traffic_pl96_s2021
learnable,traffic,862,96,2022,0.3946608901023865,0.2677486836910248,psf_learnable_traffic_pl96_s2022
learnable,traffic,862,96,2023,0.394110769033432,0.2671905755996704,psf_learnable_traffic_pl96_s2023
learnable,traffic,862,192,2021,0.4168712794780731,0.2762635052204132,psf_learnable_traffic_pl192_s2021
learnable,traffic,862,192,2022,0.8271389007568359,0.504058837890625,psf_learnable_traffic_pl192_s2022
learnable,traffic,862,192,2023,0.4149742126464844,0.27507010102272034,psf_learnable_traffic_pl192_s2023
learnable,traffic,862,336,2021,0.4329431354999542,0.2834467589855194,psf_learnable_traffic_pl336_s2021
learnable,traffic,862,336,2022,0.43120890855789185,0.2822295129299164,psf_learnable_traffic_pl336_s2022
learnable,traffic,862,336,2023,0.4310515224933624,0.28243327140808105,psf_learnable_traffic_pl336_s2023
learnable,traffic,862,720,2021,0.4643276631832123,0.3008658289909363,psf_learnable_traffic_pl720_s2021
learnable,traffic,862,720,2022,0.4651346504688263,0.30169054865837097,psf_learnable_traffic_pl720_s2022
learnable,traffic,862,720,2023,0.46519923210144043,0.3015281558036804,psf_learnable_traffic_pl720_s2023
statistical,electricity,321,96,2021,0.14245741069316864,0.23654645681381226,psf_statistical_electricity_pl96_s2021
statistical,electricity,321,96,2022,0.14204952120780945,0.23624232411384583,psf_statistical_electricity_pl96_s2022
statistical,electricity,321,96,2023,0.1428997963666916,0.23720064759254456,psf_statistical_electricity_pl96_s2023
statistical,electricity,321,192,2021,0.161996990442276,0.25471073389053345,psf_statistical_electricity_pl192_s2021
statistical,electricity,321,192,2022,0.16091851890087128,0.25355106592178345,psf_statistical_electricity_pl192_s2022
statistical,electricity,321,192,2023,0.16088935732841492,0.2535075545310974,psf_statistical_electricity_pl192_s2023
statistical,electricity,321,336,2021,0.1772233545780182,0.27031928300857544,psf_statistical_electricity_pl336_s2021
statistical,electricity,321,336,2022,0.17726197838783264,0.27008697390556335,psf_statistical_electricity_pl336_s2022
statistical,electricity,321,336,2023,0.17719437181949615,0.2698470652103424,psf_statistical_electricity_pl336_s2023
statistical,electricity,321,720,2021,0.20639252662658691,0.2946951985359192,psf_statistical_electricity_pl720_s2021
statistical,electricity,321,720,2022,0.20552735030651093,0.29412615299224854,psf_statistical_electricity_pl720_s2022
statistical,electricity,321,720,2023,0.20448745787143707,0.29274216294288635,psf_statistical_electricity_pl720_s2023
statistical,solar_AL,137,96,2021,0.19481852650642395,0.23954354226589203,psf_statistical_solar_AL_pl96_s2021
statistical,solar_AL,137,96,2022,0.20272508263587952,0.24264594912528992,psf_statistical_solar_AL_pl96_s2022
statistical,solar_AL,137,96,2023,0.1937260776758194,0.23731794953346252,psf_statistical_solar_AL_pl96_s2023
statistical,solar_AL,137,192,2021,0.2290475219488144,0.2632644474506378,psf_statistical_solar_AL_pl192_s2021
statistical,solar_AL,137,192,2022,0.2285008579492569,0.2622084319591522,psf_statistical_solar_AL_pl192_s2022
statistical,solar_AL,137,192,2023,0.22702012956142426,0.26187559962272644,psf_statistical_solar_AL_pl192_s2023
statistical,solar_AL,137,336,2021,0.24820302426815033,0.2795049250125885,psf_statistical_solar_AL_pl336_s2021
statistical,solar_AL,137,336,2022,0.2492532730102539,0.2821027636528015,psf_statistical_solar_AL_pl336_s2022
statistical,solar_AL,137,336,2023,0.24943575263023376,0.28085917234420776,psf_statistical_solar_AL_pl336_s2023
statistical,solar_AL,137,720,2021,0.2621329128742218,0.2896893322467804,psf_statistical_solar_AL_pl720_s2021
statistical,solar_AL,137,720,2022,0.25920650362968445,0.2874172627925873,psf_statistical_solar_AL_pl720_s2022
statistical,solar_AL,137,720,2023,0.259776771068573,0.28749173879623413,psf_statistical_solar_AL_pl720_s2023
statistical,traffic,862,96,2021,0.3932894766330719,0.2689673900604248,psf_statistical_traffic_pl96_s2021
statistical,traffic,862,96,2022,0.3936282694339752,0.27058932185173035,psf_statistical_traffic_pl96_s2022
statistical,traffic,862,96,2023,0.39423853158950806,0.26985713839530945,psf_statistical_traffic_pl96_s2023
statistical,traffic,862,192,2021,0.41674280166625977,0.27799299359321594,psf_statistical_traffic_pl192_s2021
statistical,traffic,862,192,2022,0.41673991084098816,0.27731937170028687,psf_statistical_traffic_pl192_s2022
statistical,traffic,862,192,2023,0.41854748129844666,0.27962344884872437,psf_statistical_traffic_pl192_s2023
statistical,traffic,862,336,2021,0.43441149592399597,0.2865084707736969,psf_statistical_traffic_pl336_s2021
statistical,traffic,862,336,2022,0.43450433015823364,0.28669872879981995,psf_statistical_traffic_pl336_s2022
statistical,traffic,862,336,2023,0.4329911768436432,0.28512251377105713,psf_statistical_traffic_pl336_s2023
statistical,traffic,862,720,2021,0.46467676758766174,0.3021133542060852,psf_statistical_traffic_pl720_s2021
statistical,traffic,862,720,2022,0.46618443727493286,0.3030925989151001,psf_statistical_traffic_pl720_s2022
statistical,traffic,862,720,2023,0.46542292833328247,0.30322402715682983,psf_statistical_traffic_pl720_s2023
