model,variant,dataset,N,pred_len,FLOPs_G,Params_M,train_vram_GB,infer_vram_GB,train_ms_batch,infer_ms_batch
iFlashformer,,traffic,862,720,11.9698,6.7320,1.3103,0.3547,66.6140,9.2222
iFlashformer,,electricity,321,96,2.2191,4.8339,0.3583,0.1271,21.2538,3.1290
iFlashformer,,electricity,321,192,2.2351,4.8831,0.3655,0.1343,21.8086,3.2620
iFlashformer,,electricity,321,336,2.2590,4.9570,0.3888,0.1417,21.6064,3.3735
iFlashformer,,electricity,321,720,2.3229,5.1540,0.4557,0.1670,24.7964,3.5553
iFlashformer,,solar_AL,137,96,0.5227,3.2559,0.2326,0.1024,17.1133,2.2892
iFlashformer,,solar_AL,137,192,0.5294,3.3052,0.2409,0.1073,17.2955,2.2856
iFlashformer,,solar_AL,137,336,0.5395,3.3790,0.2595,0.1154,18.2674,2.6808
iFlashformer,,solar_AL,137,720,0.5665,3.5760,0.3136,0.1354,20.2214,2.8857
iFlashformer,,kamp,228,96,1.4515,4.8339,0.2795,0.1099,19.5734,2.7776
iFlashformer,,kamp,228,192,1.4629,4.8831,0.2897,0.1154,20.2641,2.7093
iFlashformer,,kamp,228,336,1.4800,4.9570,0.3027,0.1199,19.9077,2.7444
iFlashformer,,kamp,228,720,1.5257,5.1540,0.3518,0.1378,20.3084,2.9323
iFlashformer,,care_wind,238,96,1.5290,4.8339,0.2894,0.1110,17.3020,2.7674
iFlashformer,,care_wind,238,192,1.5409,4.8831,0.2956,0.1161,21.0276,2.8385
iFlashformer,,care_wind,238,336,1.5587,4.9570,0.3130,0.1225,13.9318,2.8130
iFlashformer,,care_wind,238,720,1.6063,5.1540,0.3652,0.1419,19.5995,3.0520
iFlashformer,,basf,244,96,1.5760,4.8339,0.2976,0.1118,18.8659,2.6639
iFlashformer,,basf,244,192,1.5882,4.8831,0.3034,0.1170,18.1059,2.6521
iFlashformer,,basf,244,336,1.6065,4.9570,0.3217,0.1249,17.9152,2.7982
iFlashformer,,basf,244,720,1.6553,5.1540,0.3699,0.1432,19.6263,2.8969
iFlashformer,,sdwpf,2144,96,38.7253,4.8339,1.0012,0.2799,41.7509,10.0374
iFlashformer,,sdwpf,2144,192,38.8309,4.8831,1.0257,0.2990,44.8393,10.1779
iFlashformer,,sdwpf,2144,336,38.9893,4.9570,1.1016,0.3285,49.4180,10.3130
iFlashformer,,sdwpf,2144,720,39.4116,5.1540,1.3047,0.4028,62.0842,11.0054
iFlashformer,,ashrae,2362,96,45.8245,4.8339,1.0897,0.3002,44.5175,10.8574
iFlashformer,,ashrae,2362,192,45.9408,4.8831,1.1181,0.3215,48.0986,10.9850
iFlashformer,,ashrae,2362,336,46.1153,4.9570,1.2010,0.3525,53.0342,11.1901
iFlashformer,,ashrae,2362,720,46.5804,5.1540,1.4195,0.4360,82.8040,11.9752
iFlashformer,,bdg2,2817,96,62.5231,4.8339,1.2908,0.3463,57.1042,14.1893
iFlashformer,,bdg2,2817,192,62.6618,4.8831,1.3229,0.3708,61.0070,14.3250
iFlashformer,,bdg2,2817,336,62.8698,4.9570,1.4237,0.4097,76.5028,14.5273
iFlashformer,,bdg2,2817,720,63.4244,5.1540,1.6811,0.5066,102.1594,14.9350
iNystromformer,,traffic,862,96,6.9795,6.4068,1.7755,0.3625,65.9297,16.7306
iNystromformer,,traffic,862,192,7.0221,6.4560,1.7959,0.3778,64.9487,16.5244
iNystromformer,,traffic,862,336,7.0859,6.5299,1.8446,0.3999,70.0163,16.6664
iNystromformer,,traffic,862,720,7.2562,6.7269,2.0021,0.4598,96.3713,16.9419
iNystromformer,,electricity,321,96,2.2825,4.8301,0.6998,0.1855,48.3495,9.7795
iNystromformer,,electricity,321,192,2.2984,4.8793,0.7072,0.1928,46.7981,9.3790
iNystromformer,,electricity,321,336,2.3224,4.9532,0.7267,0.1989,48.5553,9.9498
iNystromformer,,electricity,321,720,2.3863,5.1502,0.7900,0.2251,54.5264,10.0370
iNystromformer,,solar_AL,137,96,0.8073,3.2534,0.5678,0.1758,37.4935,7.2615
iNystromformer,,solar_AL,137,192,0.8140,3.3026,0.5734,0.1817,36.0099,7.0015
iNystromformer,,solar_AL,137,336,0.8241,3.3765,0.5887,0.1905,36.8959,6.6159
iNystromformer,,solar_AL,137,720,0.8510,3.5735,0.6433,0.2116,37.8218,7.0146
iTransformer,,traffic,862,96,11.6931,6.4119,4.1485,1.2562,79.2439,22.5137
iTransformer,,traffic,862,192,11.7357,6.4611,4.1673,1.2730,81.6875,22.6189
iTransformer,,traffic,862,336,11.7995,6.5350,4.2005,1.2966,85.2651,22.6577
iTransformer,,traffic,862,720,11.9698,6.7320,4.2826,1.3560,109.0660,22.8965
iTransformer,,electricity,321,96,2.2191,4.8339,0.6618,0.2538,23.4005,4.4916
iTransformer,,electricity,321,192,2.2351,4.8831,0.6693,0.2601,24.7969,4.5372
iTransformer,,electricity,321,336,2.2590,4.9570,0.6818,0.2678,25.6566,4.7089
iTransformer,,electricity,321,720,2.3229,5.1540,0.7223,0.2922,29.9607,4.9064
iTransformer,,solar_AL,137,96,0.5227,3.2559,0.2954,0.1350,17.8072,2.8749
iTransformer,,solar_AL,137,192,0.5294,3.3052,0.3027,0.1386,17.3777,3.0024
iTransformer,,solar_AL,137,336,0.5395,3.3790,0.3206,0.1464,20.5626,2.8899
iTransformer,,solar_AL,137,720,0.5665,3.5760,0.3765,0.1663,21.8911,3.1898
iTransformer,,kamp,228,96,1.4515,4.8339,0.4198,0.1682,27.4614,3.9871
iTransformer,,kamp,228,192,1.4629,4.8831,0.4287,0.1706,27.8469,4.0148
iTransformer,,kamp,228,336,1.4800,4.9570,0.4400,0.1795,28.3904,4.2545
iTransformer,,kamp,228,720,1.5257,5.1540,0.4864,0.1947,29.1620,4.4778
iTransformer,,care_wind,238,96,1.5290,4.8339,0.4440,0.1759,27.4185,3.8481
iTransformer,,care_wind,238,192,1.5409,4.8831,0.4525,0.1805,25.7593,3.8309
iTransformer,,care_wind,238,336,1.5587,4.9570,0.4638,0.1877,28.9734,3.8238
iTransformer,,care_wind,238,720,1.6063,5.1540,0.5118,0.2054,29.1545,4.0142
iTransformer,,basf,244,96,1.5760,4.8339,0.4575,0.1798,26.5749,3.6932
iTransformer,,basf,244,192,1.5882,4.8831,0.4642,0.1850,28.4862,3.6497
iTransformer,,basf,244,336,1.6065,4.9570,0.4772,0.1929,27.7873,3.7685
iTransformer,,basf,244,720,1.6553,5.1540,0.5233,0.2096,28.5185,4.1248
iTransformer,,sdwpf,2144,96,38.7253,4.8339,8.9982,3.4994,145.4456,47.0030
iTransformer,,sdwpf,2144,192,38.8309,4.8831,9.0242,3.5184,145.8270,46.3190
iTransformer,,sdwpf,2144,336,38.9893,4.9570,9.0622,3.5478,150.5494,46.1558
iTransformer,,sdwpf,2144,720,39.4116,5.1540,9.1621,3.6217,164.2338,46.5836
iTransformer,,ashrae,2362,96,45.8245,4.8339,10.8134,4.2136,158.8834,48.1111
iTransformer,,ashrae,2362,192,45.9408,4.8831,10.8426,4.2349,162.2622,48.2057
iTransformer,,ashrae,2362,336,46.1153,4.9570,10.8836,4.2660,166.8760,48.3528
iTransformer,,ashrae,2362,720,46.5804,5.1540,10.9949,4.3480,196.2365,48.5651
iTransformer,,bdg2,2817,96,62.5231,4.8339,15.1724,5.9301,227.5217,69.5021
iTransformer,,bdg2,2817,192,62.6618,4.8831,15.2047,5.9547,231.5241,69.5342
iTransformer,,bdg2,2817,336,62.8698,4.9570,15.2568,5.9917,246.5257,69.7385
iTransformer,,bdg2,2817,720,63.4244,5.1540,15.3879,6.0904,271.0403,70.0004
SOFTS,,solar_AL,137,96,0.818979,2.991968,0.234884,0.12253,9.340237,2.747847
SOFTS,,solar_AL,137,192,0.83246,3.041216,0.241183,0.125249,9.508091,2.699158
SOFTS,,solar_AL,137,336,0.852681,3.115088,0.2549,0.133854,9.830777,2.721215
SOFTS,,solar_AL,137,720,0.906605,3.31208,0.308811,0.148022,10.074483,2.814011
SOFTS,,electricity,321,96,2.882204,4.438496,0.35753,0.155377,14.279492,3.453573
SOFTS,,electricity,321,192,2.914184,4.487744,0.368361,0.161733,13.718926,3.34908
SOFTS,,electricity,321,336,2.962154,4.561616,0.380342,0.16677,13.453042,3.468902
SOFTS,,electricity,321,720,3.090074,4.758608,0.444359,0.18769,13.155699,3.795463
SOFTS,,traffic,862,96,7.679965,4.438496,0.837833,0.266386,19.685985,8.258507
SOFTS,,traffic,862,192,7.76518,4.487744,0.860057,0.278254,20.138907,8.434489
SOFTS,,traffic,862,336,7.893001,4.561616,0.891685,0.292791,20.790785,8.529695
SOFTS,,traffic,862,720,8.233859,4.758608,1.051341,0.335928,22.095533,9.023101
SOFTS,,kamp,228,96,2.05745,4.438496,0.279593,0.137366,14.118651,4.770596
SOFTS,,kamp,228,192,2.080279,4.487744,0.286108,0.141023,14.135549,4.34164
SOFTS,,kamp,228,336,2.114522,4.561616,0.297636,0.146214,13.126812,2.97084
SOFTS,,kamp,228,720,2.205837,4.758608,0.34046,0.159947,12.893005,3.402038
SOFTS,,care_wind,238,96,2.146133,4.438496,0.289012,0.139962,15.007125,5.033396
SOFTS,,care_wind,238,192,2.169946,4.487744,0.295093,0.142677,14.267092,5.011105
SOFTS,,care_wind,238,336,2.205665,4.561616,0.304053,0.149313,14.250232,3.181979
SOFTS,,care_wind,238,720,2.300917,4.758608,0.354722,0.163837,12.842407,3.210131
SOFTS,,basf,244,96,2.199343,4.438496,0.297177,0.141143,14.389074,3.020939
SOFTS,,basf,244,192,2.223747,4.487744,0.30364,0.143545,13.993054,4.579495
SOFTS,,basf,244,336,2.260351,4.561616,0.312542,0.150257,14.220498,3.369612
SOFTS,,basf,244,720,2.357964,4.758608,0.360246,0.163827,13.514263,3.489728
SOFTS,,sdwpf,2144,96,19.049151,4.438496,1.007922,0.304292,27.451942,13.274924
SOFTS,,sdwpf,2144,192,19.260515,4.487744,1.031976,0.317637,27.998068,25.958419
SOFTS,,sdwpf,2144,336,19.577559,4.561616,1.072862,0.338314,58.532108,29.3854
SOFTS,,sdwpf,2144,720,20.423012,4.758608,1.27611,0.390008,65.843801,29.451724
SOFTS,,ashrae,2362,96,20.982445,4.438496,1.095407,0.323419,60.783106,29.730337
SOFTS,,ashrae,2362,192,21.21526,4.487744,1.12327,0.338727,61.862699,30.136629
SOFTS,,ashrae,2362,336,21.564481,4.561616,1.169301,0.36078,64.910704,30.104811
SOFTS,,ashrae,2362,720,22.495739,4.758608,1.389308,0.417108,31.75621,14.829375
SOFTS,,bdg2,2817,96,25.017531,4.438496,1.29588,0.3679,34.37773,17.13893
SOFTS,,bdg2,2817,192,25.295117,4.487744,1.326617,0.385895,35.109529,17.363641
SOFTS,,bdg2,2817,336,25.711497,4.561616,1.383202,0.412358,35.905998,17.519987
SOFTS,,bdg2,2817,720,26.821842,4.758608,1.64208,0.480659,38.073672,17.900705
S-Mamba,,solar_AL,137,96,1.304762,4.638304,0.285841,0.094328,19.273923,4.334253
S-Mamba,,solar_AL,137,192,1.318242,4.687552,0.293595,0.094374,19.617905,4.385316
S-Mamba,,solar_AL,137,336,1.338464,4.761424,0.311804,0.097141,19.765928,4.195243
S-Mamba,,solar_AL,137,720,1.392387,4.958416,0.365016,0.100371,18.388179,4.167113
S-Mamba,,electricity,321,96,4.450732,6.760032,0.413187,0.13266,25.172014,5.849781
S-Mamba,,electricity,321,192,4.642456,6.956736,0.433866,0.133618,25.459879,5.994276
S-Mamba,,electricity,321,336,4.690426,7.030608,0.456244,0.136321,25.483312,5.942011
S-Mamba,,electricity,321,720,4.818346,7.2276,0.524498,0.142319,24.759275,6.058957
S-Mamba,,traffic,862,96,16.322673,9.176672,1.213408,0.179192,56.787547,7.610921
S-Mamba,,traffic,862,192,16.407887,9.22592,1.233168,0.178744,57.134679,8.171078
S-Mamba,,traffic,862,336,16.535709,9.299792,1.291921,0.184549,57.51415,7.535133
S-Mamba,,traffic,862,720,16.876566,9.496784,1.453978,0.18987,58.385042,7.539557
S-Mamba,,kamp,228,96,3.291171,6.907488,0.339377,0.131232,28.25979,5.782615
S-Mamba,,kamp,228,192,3.313999,6.956736,0.348027,0.135923,27.20362,5.747028
S-Mamba,,kamp,228,336,3.348243,7.030608,0.363941,0.134867,26.876543,5.764219
S-Mamba,,kamp,228,720,3.439558,7.2276,0.406964,0.139076,23.908704,5.60368
S-Mamba,,care_wind,238,96,3.433031,6.907488,0.353817,0.132695,28.405612,5.702651
S-Mamba,,care_wind,238,192,3.456844,6.956736,0.35981,0.133705,27.389326,5.617194
S-Mamba,,care_wind,238,336,3.492563,7.030608,0.378961,0.135902,27.270199,5.777948
S-Mamba,,care_wind,238,720,3.587815,7.2276,0.42528,0.141809,24.118948,5.76725
S-Mamba,,basf,244,96,3.518148,6.907488,0.358225,0.134697,27.551922,5.727186
S-Mamba,,basf,244,192,3.542551,6.956736,0.364643,0.133387,29.354441,5.889974
S-Mamba,,basf,244,336,3.579156,7.030608,0.381647,0.135076,29.111935,5.764744
S-Mamba,,basf,244,720,3.676769,7.2276,0.429842,0.139543,26.665825,5.784043
S-Mamba,,sdwpf,2144,96,30.4717,6.907488,1.132441,0.157315,91.630596,6.401434
S-Mamba,,sdwpf,2144,192,30.683063,6.956736,1.157969,0.162345,92.94453,6.608165
S-Mamba,,sdwpf,2144,336,31.000108,7.030608,1.232219,0.163791,81.405027,6.33686
S-Mamba,,sdwpf,2144,720,31.845561,7.2276,1.436139,0.174052,95.999493,6.785383
S-Mamba,,ashrae,2362,96,33.564265,6.907488,1.231287,0.162489,81.486192,6.090469
S-Mamba,,ashrae,2362,192,33.79708,6.956736,1.260438,0.163706,81.909979,5.927024
S-Mamba,,ashrae,2362,336,34.146301,7.030608,1.340066,0.169176,82.367303,6.07973
S-Mamba,,ashrae,2362,720,35.077559,7.2276,1.562752,0.179075,98.04639,6.377931
S-Mamba,,bdg2,2817,96,40.018932,6.907488,1.44478,0.168684,104.920586,5.742387
S-Mamba,,bdg2,2817,192,40.296518,6.956736,1.478469,0.173125,105.268906,6.161534
S-Mamba,,bdg2,2817,336,40.712898,7.030608,1.576481,0.177137,106.012933,6.498996
S-Mamba,,bdg2,2817,720,41.823243,7.2276,1.837306,0.186487,109.63804,6.442298
TimeMixer,,solar_AL,137,96,4.446616,6.704001,0.553396,0.211739,37.105378,8.415436
TimeMixer,,solar_AL,137,192,4.508179,6.736833,0.574352,0.214751,37.295169,8.330735
TimeMixer,,solar_AL,137,336,4.600524,6.786081,0.611585,0.221144,37.6102,8.519143
TimeMixer,,solar_AL,137,720,4.846778,6.917409,0.69743,0.260913,34.440264,8.435974
TimeMixer,,electricity,321,96,1.409031,0.104169,2.189395,0.47064,55.422311,16.687937
TimeMixer,,electricity,321,192,1.592571,0.121833,2.314375,0.478065,59.022622,17.182671
TimeMixer,,electricity,321,336,1.867881,0.148329,2.574173,0.490302,63.890475,18.138022
TimeMixer,,electricity,321,720,2.602041,0.218985,3.245805,0.518667,77.357906,20.267938
TimeMixer,,traffic,862,96,9.47378,0.113657,2.84125,0.580338,68.778365,21.105263
TimeMixer,,traffic,862,192,10.459191,0.131321,2.989998,0.586046,72.643807,21.663422
TimeMixer,,traffic,862,336,11.937307,0.157817,3.312675,0.593857,78.454932,22.780673
TimeMixer,,traffic,862,720,15.87895,0.228473,4.163375,0.614263,93.665487,24.936052
TimeMixer,,kamp,228,96,1.00212,0.104185,0.788044,0.178916,54.761405,9.940047
TimeMixer,,kamp,228,192,1.132485,0.121849,0.840402,0.182994,55.484681,9.956808
TimeMixer,,kamp,228,336,1.328033,0.148345,0.929689,0.188635,53.203304,9.619978
TimeMixer,,kamp,228,720,1.849492,0.219001,1.167359,0.198912,48.25917,10.054835
TimeMixer,,care_wind,238,96,1.046073,0.104185,0.8442,0.192305,53.121122,9.366485
TimeMixer,,care_wind,238,192,1.182156,0.121849,0.89192,0.196146,52.36528,9.36439
TimeMixer,,care_wind,238,336,1.38628,0.148345,0.991905,0.200124,52.839197,9.713554
TimeMixer,,care_wind,238,720,1.93061,0.219001,1.23814,0.212329,50.954966,10.432484
TimeMixer,,basf,244,96,1.071039,0.104169,0.847617,0.191811,45.857191,9.429218
TimeMixer,,basf,244,192,1.210552,0.121833,0.898339,0.195013,44.971543,9.414466
TimeMixer,,basf,244,336,1.419822,0.148329,0.995359,0.19978,44.629791,9.648716
TimeMixer,,basf,244,720,1.977876,0.218985,1.251002,0.211579,43.458462,10.515865
TimeMixer,,sdwpf,2144,96,9.423446,0.104185,3.642972,0.772771,137.085016,25.976519
TimeMixer,,sdwpf,2144,192,10.649334,0.121849,3.844493,0.785928,144.282276,26.940673
TimeMixer,,sdwpf,2144,336,12.488165,0.148345,4.270956,0.804769,150.358686,28.307873
TimeMixer,,sdwpf,2144,720,17.391716,0.219001,5.401793,0.85673,174.513634,41.533859
TimeMixer,,ashrae,2362,96,10.368008,0.104169,3.992771,0.83821,114.71886,37.571129
TimeMixer,,ashrae,2362,192,11.718543,0.121833,4.219429,0.8534,121.793438,38.400327
TimeMixer,,ashrae,2362,336,13.744346,0.148329,4.685579,0.872635,134.551782,40.201482
TimeMixer,,ashrae,2362,720,19.146485,0.218985,5.929105,0.92767,167.091105,42.158483
TimeMixer,,bdg2,2817,96,12.365233,0.104169,4.75077,0.995013,112.318513,33.194332
TimeMixer,,bdg2,2817,192,13.975926,0.121833,5.019532,1.010506,118.210266,34.34882
TimeMixer,,bdg2,2817,336,16.391965,0.148329,5.580647,1.035257,130.138979,36.134233
TimeMixer,,bdg2,2817,720,22.834737,0.218985,7.063944,1.101712,159.37074,40.894208
